,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014,用電量_2015,population_2011,population_2012,population_2013,population_2014,population_2015,人均用電量_2011,人均用電量_2012,人均用電量_2013,人均用電量_2014
134,中山區,朱崙里,1030303.0,1026459.0,996847.0,,1014065,2982.0,2942.0,2983.0,2994.0,2994.0,345.5073775989269,348.8983684568321,334.1759973181361,
135,中山區,力行里,863785.0,855644.0,859594.0,866638.0,869721,5816.0,5897.0,5950.0,6076.0,6076.0,148.51874140302613,145.09818551806003,144.46957983193278,142.6329822251481
136,中山區,中庄里,1427432.0,1593470.0,1370824.0,1515118.0,1649322,5167.0,5129.0,5201.0,5251.0,5251.0,276.25933810721887,310.6784948333008,263.56931359353973,288.5389449628642
137,中山區,朱馥里,1020881.0,351.0,1016597.0,1037494.0,1011354,6272.0,6261.0,6235.0,6223.0,6223.0,162.76801658163265,0.056061332055582176,163.0468323977546,166.71926723445284
138,中山區,江寧里,977343.0,,914402.0,958620.0,905870,6761.0,6970.0,7055.0,7120.0,7120.0,144.55598284277474,,129.61048901488306,134.6376404494382
139,中山區,江山里,1239192.0,33.0,1192612.0,1231708.0,1213052,7666.0,7743.0,7786.0,7832.0,7832.0,161.6477954604748,0.004261913986826811,153.17390187516054,157.26608784473953
140,中山區,大佳里,121382.0,2182.0,121966.0,126842.0,135606,1152.0,1143.0,1132.0,1135.0,1135.0,105.36631944444444,1.9090113735783028,107.74381625441696,111.75506607929515
141,中山區,中央里,173867.0,1515.0,164681.0,177470.0,190747,3848.0,3872.0,3868.0,3851.0,3851.0,45.18373180873181,0.3912706611570248,42.57523267838676,46.08413399117112
142,中山區,新福里,738725.0,802653.0,692938.0,801380.0,805960,5190.0,5196.0,5193.0,5233.0,5233.0,142.33622350674375,154.47517321016167,133.4369343346813,153.13969042614178
143,中山區,聚盛里,208725.0,249453.0,226895.0,232321.0,226942,3916.0,4051.0,4168.0,4236.0,4236.0,53.300561797752806,61.57812885707233,54.437380038387715,54.844428706326724
144,中山區,正得里,16091.0,14526.0,3612.0,4869.0,26769,3593.0,3682.0,3745.0,3789.0,3789.0,4.478430281102143,3.9451385116784357,0.9644859813084112,1.2850356294536818
145,中山區,下埤里,1238.0,,11744.0,13741.0,18974,7698.0,7799.0,7837.0,7888.0,7888.0,0.16082099246557546,,1.498532601760878,1.7420131845841784
146,中山區,康樂里,1059778.0,1128257.0,1030727.0,1132698.0,1167050,2484.0,2575.0,2668.0,2684.0,2684.0,426.6417069243156,438.15805825242717,386.3294602698651,422.01862891207156
147,中山區,圓山里,4080.0,1061.0,3839.0,1975.0,16462,4210.0,4331.0,4420.0,4451.0,4451.0,0.9691211401425178,0.24497806511198336,0.868552036199095,0.4437205122444394
148,中山區,新喜里,,72.0,,4000.0,--,5460.0,5516.0,5524.0,5564.0,5564.0,,0.01305293691080493,,0.7189072609633357
149,中山區,聚葉里,,569.0,,5640.0,6120,3835.0,3914.0,3927.0,3980.0,3980.0,,0.1453755748594788,,1.4170854271356783
150,中山區,新生里,,,,2373.0,3146,5022.0,5063.0,5083.0,5175.0,5175.0,,,,0.45855072463768115
