,district,village,population_2011,population_2012,population_2013,population_2014,population_2015
344,內湖區,港都里,5669.0,5747.0,5932.0,5941.0,5941.0
345,內湖區,港富里,9892.0,10026.0,10041.0,10097.0,10097.0
346,內湖區,港華里,9151.0,9333.0,9491.0,9559.0,9559.0
347,內湖區,港墘里,6250.0,6331.0,6369.0,6403.0,6403.0
348,內湖區,湖元里,5617.0,5756.0,5812.0,5807.0,5807.0
349,內湖區,湖興里,8386.0,8704.0,8660.0,8820.0,8820.0
350,內湖區,湖濱里,8458.0,8486.0,8529.0,8507.0,8507.0
351,內湖區,紫星里,8267.0,8195.0,8249.0,8309.0,8309.0
352,內湖區,紫陽里,8073.0,8077.0,8218.0,8415.0,8415.0
353,內湖區,紫雲里,6067.0,6096.0,6130.0,6177.0,6177.0
354,內湖區,週美里,6584.0,6920.0,7325.0,7667.0,7667.0
355,內湖區,瑞光里,4748.0,4778.0,4833.0,4820.0,4820.0
356,內湖區,瑞陽里,8147.0,8112.0,8164.0,8215.0,8215.0
357,內湖區,葫洲里,7694.0,7758.0,7720.0,7799.0,7799.0
358,內湖區,碧山里,7275.0,7310.0,7319.0,7378.0,7378.0
359,內湖區,樂康里,9072.0,8928.0,9187.0,9292.0,9292.0
360,內湖區,麗山里,5906.0,6079.0,6167.0,6288.0,6288.0
361,內湖區,寶湖里,7072.0,7995.0,8195.0,8511.0,8511.0
362,內湖區,蘆洲里,1278.0,1313.0,1316.0,1338.0,1338.0
363,士林區,三玉里,5884.0,6047.0,6082.0,6205.0,6205.0
364,士林區,仁勇里,4309.0,4349.0,4339.0,4290.0,4290.0
365,士林區,公館里,1470.0,1455.0,1469.0,1494.0,1494.0
366,士林區,天山里,7570.0,7600.0,7512.0,7402.0,7402.0
367,士林區,天母里,7062.0,7142.0,7084.0,7147.0,7147.0
368,士林區,天玉里,9249.0,9281.0,9312.0,9346.0,9346.0
369,士林區,天和里,8332.0,8228.0,8185.0,8109.0,8109.0
370,士林區,天祿里,5336.0,5366.0,5397.0,5546.0,5546.0
371,士林區,天壽里,5237.0,5290.0,5276.0,5342.0,5342.0
372,士林區,天福里,6641.0,6645.0,6728.0,6690.0,6690.0
373,士林區,平等里,1522.0,1510.0,1523.0,1537.0,1537.0
374,士林區,永倫里,7396.0,7509.0,7605.0,7741.0,7741.0
375,士林區,永福里,1353.0,1336.0,1361.0,1338.0,1338.0
376,士林區,名山里,7500.0,7468.0,7532.0,7522.0,7522.0
377,士林區,百齡里,7729.0,7718.0,7739.0,7722.0,7722.0
378,士林區,岩山里,3622.0,3710.0,3709.0,3662.0,3662.0
379,士林區,忠誠里,5803.0,5892.0,6000.0,5994.0,5994.0
380,士林區,承德里,5857.0,5892.0,5967.0,6015.0,6015.0
381,士林區,明勝里,5123.0,5180.0,5167.0,5217.0,5217.0
382,士林區,東山里,5599.0,5543.0,5556.0,5509.0,5509.0
